TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:12:33.917;2862.034;1
12:12:33.938;2862.034;1
12:12:33.962;2861.292;1
12:12:33.986;2859.562;1
12:12:34.010;2859.562;1
12:12:34.034;2861.416;1
12:12:34.056;2862.034;1
12:12:34.077;2862.034;1
12:12:34.102;2859.562;1
12:12:34.125;2861.663;1
12:12:34.147;2861.663;1
12:12:34.170;2860.921;1
12:12:34.192;2859.438;1
12:12:34.215;2859.438;1
12:12:34.240;2861.045;1
12:12:34.264;2860.921;1
12:12:34.287;2860.921;1
12:12:34.308;2859.809;1
12:12:34.330;2860.427;1
12:12:34.354;2861.045;1
12:12:34.376;2861.045;1
12:12:34.402;2859.438;1
12:12:34.423;2859.686;1
12:12:34.447;2859.686;1
12:12:34.468;2861.169;1
12:12:34.491;2859.562;1
12:12:34.515;2859.809;1
12:12:34.538;2859.809;1
12:12:34.560;2861.91;1
12:12:34.584;2861.91;1
12:12:34.608;2861.539;1
12:12:34.630;2858.944;1
12:12:34.652;2861.539;1
12:12:34.678;2861.416;1
12:12:34.699;2861.416;1
12:12:34.721;2861.416;1
12:12:34.744;2859.191;1
12:12:34.768;2861.045;1
12:12:34.791;2861.91;1
12:12:34.815;2859.562;1
12:12:34.837;2859.562;1
12:12:34.859;2861.787;1
12:12:34.885;2861.787;1
12:12:34.906;2862.405;1
12:12:34.930;2860.798;1
12:12:34.953;2861.539;1
12:12:34.975;2861.539;1
12:12:34.997;2862.157;1
12:12:35.019;2860.427;1
12:12:35.042;2860.303;1
12:12:35.065;2860.303;1
12:12:35.089;2862.281;1
12:12:35.111;2862.281;1
12:12:35.135;2862.281;1
12:12:35.157;2860.18;1
12:12:35.180;2861.416;1
12:12:35.203;2861.416;1
12:12:35.226;2860.056;1
12:12:35.252;2860.056;1
12:12:35.274;2859.067;1
12:12:35.295;2862.034;1
12:12:35.318;2859.686;1
12:12:35.341;2857.955;1
12:12:35.364;2857.955;1
12:12:35.387;2857.955;1
12:12:35.411;2861.416;1
12:12:35.434;2861.416;1
12:12:35.456;2861.663;1
12:12:35.481;2859.315;1
12:12:35.502;2861.539;1
12:12:35.526;2861.663;1
12:12:35.548;2861.663;1
12:12:35.572;2861.663;1
12:12:35.597;2858.944;1
12:12:35.618;2860.674;1
12:12:35.640;2860.921;1
12:12:35.663;2860.674;1
12:12:35.688;2860.674;1
12:12:35.709;2860.551;1
12:12:35.733;2861.91;1
12:12:35.757;2861.91;1
12:12:35.783;2859.933;1
12:12:35.802;2859.933;1
12:12:35.825;2859.933;1
12:12:35.849;2862.405;1
12:12:35.871;2859.562;1
12:12:35.893;2859.438;1
12:12:35.918;2859.438;1
12:12:35.939;2861.663;1
12:12:35.964;2861.663;1
12:12:35.986;2860.798;1
12:12:36.009;2858.82;1
12:12:36.031;2858.82;1
12:12:36.054;2862.281;1
12:12:36.080;2860.798;1
12:12:36.101;2860.798;1
12:12:36.124;2859.067;1
12:12:36.146;2861.91;1
12:12:36.169;2861.91;1
12:12:36.193;2858.944;1
12:12:36.216;2858.944;1
12:12:36.238;2858.944;1
12:12:36.262;2861.045;1
12:12:36.285;2861.91;1
12:12:36.310;2859.686;1
12:12:36.330;2861.539;1
12:12:36.356;2861.045;1
12:12:36.379;2861.045;1
12:12:36.400;2861.045;1
12:12:36.422;2860.303;1
12:12:36.445;2861.169;1
12:12:36.471;2861.663;1
12:12:36.492;2860.551;1
12:12:36.515;2860.551;1
12:12:36.537;2860.551;1
12:12:36.561;2860.551;1
12:12:36.586;2862.528;1
12:12:36.608;2860.303;1
12:12:36.632;2859.809;1
12:12:36.654;2859.809;1
12:12:36.676;2862.157;1
12:12:36.700;2860.551;1
12:12:36.721;2860.551;1
12:12:36.746;2859.562;1
12:12:36.769;2862.281;1
12:12:36.790;2862.281;1
12:12:36.813;2861.169;1
12:12:36.836;2859.315;1
12:12:36.859;2861.045;1
12:12:36.882;2861.045;1
12:12:36.907;2860.798;1
12:12:36.930;2860.798;1
12:12:36.952;2859.315;1
12:12:36.974;2861.787;1
12:12:36.998;2861.292;1
12:12:37.021;2861.292;1
12:12:37.044;2859.562;1
