TimeStamp;Температура масла на входе в двигатель за фильтром (поз. Т607);0 - Bad, 1 - Good
12:12:53.651;23.247;1
12:12:53.675;23.247;1
12:12:53.695;23.247;1
12:12:53.718;23.247;1
12:12:53.741;23.247;1
12:12:53.765;23.247;1
12:12:53.790;23.247;1
12:12:53.811;23.247;1
12:12:53.835;23.247;1
12:12:53.858;23.247;1
12:12:53.881;23.247;1
12:12:53.904;23.247;1
12:12:53.928;23.247;1
12:12:53.951;23.247;1
12:12:53.972;23.247;1
12:12:53.998;23.247;1
12:12:54.019;23.247;1
12:12:54.042;23.247;1
12:12:54.064;23.247;1
12:12:54.090;23.247;1
12:12:54.111;23.247;1
12:12:54.136;23.247;1
12:12:54.158;23.247;1
12:12:54.181;23.247;1
12:12:54.202;23.247;1
12:12:54.226;23.34;1
12:12:54.250;23.34;1
12:12:54.274;23.34;1
12:12:54.295;23.34;1
12:12:54.317;23.34;1
12:12:54.341;23.34;1
12:12:54.364;23.34;1
12:12:54.387;23.34;1
12:12:54.411;23.34;1
12:12:54.432;23.34;1
12:12:54.455;23.34;1
12:12:54.478;23.34;1
12:12:54.501;23.34;1
12:12:54.524;23.34;1
12:12:54.550;23.27;1
12:12:54.571;23.27;1
12:12:54.593;23.27;1
12:12:54.616;23.27;1
12:12:54.639;23.27;1
12:12:54.662;23.27;1
12:12:54.685;23.27;1
12:12:54.708;23.27;1
12:12:54.731;23.27;1
12:12:54.753;23.27;1
12:12:54.776;23.27;1
12:12:54.799;23.27;1
12:12:54.822;23.27;1
12:12:54.845;23.27;1
12:12:54.868;23.154;1
12:12:54.891;23.154;1
12:12:54.914;23.154;1
12:12:54.937;23.154;1
12:12:54.960;23.154;1
12:12:54.983;23.154;1
12:12:55.006;23.154;1
12:12:55.031;23.154;1
12:12:55.053;23.154;1
12:12:55.076;23.154;1
12:12:55.099;23.154;1
12:12:55.121;23.154;1
12:12:55.147;23.154;1
12:12:55.168;23.154;1
12:12:55.190;23.27;1
12:12:55.213;23.27;1
12:12:55.236;23.27;1
12:12:55.259;23.27;1
12:12:55.283;23.27;1
12:12:55.307;23.27;1
12:12:55.329;23.27;1
12:12:55.351;23.27;1
12:12:55.375;23.27;1
12:12:55.399;23.27;1
12:12:55.421;23.27;1
12:12:55.444;23.27;1
12:12:55.466;23.27;1
12:12:55.492;23.27;1
12:12:55.512;23.293;1
12:12:55.537;23.293;1
12:12:55.558;23.293;1
12:12:55.583;23.293;1
12:12:55.606;23.293;1
12:12:55.627;23.293;1
12:12:55.653;23.293;1
12:12:55.675;23.293;1
12:12:55.696;23.293;1
12:12:55.719;23.293;1
12:12:55.742;23.293;1
12:12:55.768;23.293;1
12:12:55.788;23.293;1
12:12:55.811;23.293;1
12:12:55.834;23.27;1
12:12:55.857;23.27;1
12:12:55.880;23.27;1
12:12:55.903;23.27;1
12:12:55.929;23.27;1
12:12:55.950;23.27;1
12:12:55.972;23.27;1
12:12:55.998;23.27;1
12:12:56.018;23.27;1
12:12:56.043;23.27;1
12:12:56.066;23.27;1
12:12:56.087;23.27;1
12:12:56.110;23.27;1
12:12:56.133;23.27;1
12:12:56.156;23.223;1
12:12:56.181;23.223;1
12:12:56.202;23.223;1
12:12:56.226;23.223;1
12:12:56.249;23.223;1
12:12:56.273;23.223;1
12:12:56.295;23.223;1
12:12:56.317;23.223;1
12:12:56.341;23.223;1
12:12:56.364;23.223;1
12:12:56.386;23.223;1
12:12:56.409;23.223;1
12:12:56.432;23.223;1
12:12:56.457;23.223;1
12:12:56.481;23.223;1
12:12:56.501;23.27;1
12:12:56.524;23.27;1
12:12:56.547;23.27;1
12:12:56.573;23.27;1
12:12:56.593;23.27;1
12:12:56.616;23.27;1
12:12:56.639;23.27;1
12:12:56.662;23.27;1
12:12:56.686;23.27;1
12:12:56.708;23.27;1
12:12:56.731;23.27;1
12:12:56.754;23.293;1
12:12:56.777;23.293;1
12:12:56.800;23.293;1
12:12:56.826;23.293;1
12:12:56.847;23.293;1
12:12:56.869;23.293;1
12:12:56.892;23.293;1
12:12:56.915;23.293;1
12:12:56.938;23.293;1
12:12:56.962;23.293;1
12:12:56.984;23.293;1
12:12:57.007;23.293;1
12:12:57.030;23.293;1
12:12:57.053;23.293;1
12:12:57.076;23.154;1
12:12:57.100;23.154;1
12:12:57.123;23.154;1
12:12:57.145;23.154;1
12:12:57.168;23.154;1
12:12:57.191;23.154;1
12:12:57.216;23.154;1
12:12:57.237;23.154;1
12:12:57.262;23.154;1
12:12:57.286;23.154;1
12:12:57.309;23.154;1
12:12:57.330;23.154;1
12:12:57.354;23.154;1
12:12:57.376;23.154;1
12:12:57.399;23.154;1
12:12:57.424;23.27;1
12:12:57.447;23.27;1
12:12:57.469;23.27;1
12:12:57.492;23.27;1
12:12:57.516;23.27;1
12:12:57.537;23.27;1
12:12:57.559;23.27;1
12:12:57.584;23.27;1
12:12:57.607;23.27;1
12:12:57.630;23.27;1
12:12:57.652;23.27;1
12:12:57.675;23.27;1
12:12:57.698;23.27;1
12:12:57.722;23.27;1
12:12:57.744;23.27;1
12:12:57.766;23.27;1
12:12:57.792;23.27;1
12:12:57.812;23.27;1
12:12:57.835;23.27;1
12:12:57.859;23.27;1
12:12:57.884;23.27;1
12:12:57.905;23.27;1
12:12:57.927;23.27;1
12:12:57.950;23.27;1
12:12:57.975;23.27;1
12:12:57.998;23.27;1
12:12:58.021;23.27;1
12:12:58.043;23.27;1
12:12:58.068;23.293;1
12:12:58.088;23.293;1
12:12:58.111;23.293;1
12:12:58.134;23.293;1
12:12:58.157;23.293;1
12:12:58.182;23.293;1
12:12:58.205;23.293;1
12:12:58.227;23.293;1
12:12:58.251;23.293;1
12:12:58.273;23.293;1
12:12:58.295;23.293;1
12:12:58.319;23.293;1
12:12:58.341;23.293;1
12:12:58.364;23.293;1
12:12:58.388;23.293;1
12:12:58.411;23.363;1
12:12:58.434;23.363;1
12:12:58.456;23.363;1
12:12:58.480;23.363;1
12:12:58.502;23.363;1
12:12:58.525;23.363;1
12:12:58.548;23.363;1
12:12:58.571;23.363;1
12:12:58.594;23.363;1
12:12:58.617;23.363;1
12:12:58.640;23.363;1
12:12:58.663;23.363;1
12:12:58.687;23.363;1
12:12:58.709;23.409;1
12:12:58.733;23.409;1
12:12:58.755;23.409;1
12:12:58.780;23.409;1
12:12:58.801;23.409;1
12:12:58.824;23.409;1
12:12:58.850;23.409;1
12:12:58.873;23.409;1
12:12:58.893;23.409;1
12:12:58.916;23.409;1
12:12:58.939;23.409;1
12:12:58.962;23.409;1
12:12:58.986;23.409;1
12:12:59.008;23.409;1
12:12:59.032;23.409;1
12:12:59.054;23.316;1
12:12:59.077;23.316;1
12:12:59.100;23.316;1
12:12:59.123;23.316;1
12:12:59.149;23.316;1
12:12:59.170;23.316;1
12:12:59.192;23.316;1
12:12:59.215;23.316;1
12:12:59.238;23.316;1
12:12:59.263;23.316;1
12:12:59.284;23.316;1
12:12:59.307;23.316;1
12:12:59.330;23.316;1
12:12:59.353;23.293;1
12:12:59.376;23.293;1
12:12:59.401;23.293;1
12:12:59.423;23.293;1
12:12:59.445;23.293;1
12:12:59.469;23.293;1
12:12:59.493;23.293;1
12:12:59.514;23.293;1
12:12:59.537;23.293;1
12:12:59.560;23.293;1
12:12:59.586;23.293;1
12:12:59.609;23.293;1
12:12:59.630;23.293;1
12:12:59.655;23.293;1
12:12:59.676;23.293;1
12:12:59.699;23.293;1
12:12:59.723;23.293;1
12:12:59.745;23.293;1
12:12:59.770;23.293;1
12:12:59.790;23.293;1
12:12:59.813;23.293;1
12:12:59.837;23.293;1
12:12:59.859;23.293;1
12:12:59.886;23.293;1
12:12:59.906;23.293;1
12:12:59.931;23.293;1
12:12:59.952;23.293;1
12:12:59.975;23.293;1
12:12:59.998;23.293;1
12:13:00.020;23.293;1
12:13:00.046;23.293;1
12:13:00.066;23.293;1
12:13:00.089;23.293;1
