TimeStamp;Частота вращения РНД (Расчетная);0 - Bad, 1 - Good
12:12:29.294;7740.081;1
12:12:29.317;7742.211;1
12:12:29.339;7743.386;1
12:12:29.362;7741.951;1
12:12:29.385;7734.059;1
12:12:29.407;7734.059;1
12:12:29.433;7743.386;1
12:12:29.453;7741.774;1
12:12:29.477;7735.74;1
12:12:29.502;7737.354;1
12:12:29.522;7737.354;1
12:12:29.546;7738.03;1
12:12:29.570;7737.947;1
12:12:29.591;7739.437;1
12:12:29.616;7737.608;1
12:12:29.640;7739.183;1
12:12:29.661;7735.896;1
12:12:29.686;7740.59;1
12:12:29.706;7740.59;1
12:12:29.731;7738.32;1
12:12:29.753;7733.546;1
12:12:29.775;7737.791;1
12:12:29.798;7741.483;1
12:12:29.821;7742.851;1
12:12:29.844;7741.598;1
12:12:29.868;7734.334;1
12:12:29.890;7734.334;1
12:12:29.913;7736.518;1
12:12:29.936;7743.985;1
12:12:29.959;7737.245;1
12:12:29.982;7738.834;1
12:12:30.006;7739.017;1
12:12:30.029;7739.017;1
12:12:30.054;7740.377;1
12:12:30.074;7740.517;1
12:12:30.097;7740.517;1
12:12:30.120;7742.263;1
12:12:30.143;7742.228;1
12:12:30.166;7743.479;1
12:12:30.190;7743.479;1
12:12:30.213;7743.479;1
12:12:30.235;7743.673;1
12:12:30.258;7738.013;1
12:12:30.281;7742.918;1
12:12:30.304;7741.889;1
12:12:30.327;7742.831;1
12:12:30.350;7741.39;1
12:12:30.373;7743.922;1
12:12:30.398;7741.681;1
12:12:30.421;7741.681;1
12:12:30.444;7744.38;1
12:12:30.466;7747.106;1
12:12:30.489;7748.006;1
12:12:30.513;7745.066;1
12:12:30.536;7740.554;1
12:12:30.559;7740.554;1
12:12:30.582;7748.491;1
12:12:30.603;7747.777;1
12:12:30.628;7747.694;1
12:12:30.652;7748.501;1
12:12:30.673;7746.143;1
12:12:30.697;7746.815;1
12:12:30.718;7746.815;1
12:12:30.744;7750.964;1
12:12:30.765;7749.647;1
12:12:30.788;7743.08;1
12:12:30.810;7747.485;1
12:12:30.834;7746.388;1
12:12:30.858;7745.753;1
12:12:30.881;7746.913;1
12:12:30.902;7746.913;1
12:12:30.925;7749.016;1
12:12:30.950;7747.683;1
12:12:30.972;7747.793;1
12:12:30.997;7750.745;1
12:12:31.020;7749.459;1
12:12:31.040;7749.459;1
12:12:31.064;7749.547;1
12:12:31.088;7747.929;1
12:12:31.110;7749.126;1
12:12:31.134;7746.544;1
12:12:31.156;7749.813;1
12:12:31.183;7742.211;1
12:12:31.203;7746.576;1
12:12:31.225;7746.576;1
12:12:31.248;7744.016;1
12:12:31.271;7750.516;1
12:12:31.294;7749.63;1
12:12:31.318;7747.006;1
12:12:31.340;7750.48;1
12:12:31.362;7751.402;1
12:12:31.387;7751.7;1
12:12:31.410;7751.7;1
12:12:31.432;7746.305;1
12:12:31.454;7745.373;1
12:12:31.477;7747.35;1
12:12:31.500;7745.664;1
12:12:31.525;7745.664;1
12:12:31.546;7748.001;1
12:12:31.569;7747.371;1
12:12:31.592;7750.776;1
12:12:31.616;7744.026;1
12:12:31.638;7747.548;1
12:12:31.661;7746.222;1
12:12:31.686;7746.913;1
12:12:31.707;7746.913;1
12:12:31.732;7746.34;1
12:12:31.754;7748.068;1
12:12:31.776;7748.376;1
12:12:31.799;7751.876;1
12:12:31.822;7745.847;1
12:12:31.845;7745.847;1
12:12:31.868;7741.265;1
12:12:31.893;7743.688;1
12:12:31.917;7743.257;1
12:12:31.939;7744.811;1
12:12:31.962;7745.171;1
12:12:31.984;7742.986;1
12:12:32.007;7742.986;1
12:12:32.032;7747.61;1
12:12:32.054;7745.119;1
12:12:32.076;7745.258;1
12:12:32.098;7743.777;1
12:12:32.121;7741.66;1
12:12:32.144;7744.775;1
12:12:32.169;7745.14;1
12:12:32.190;7745.14;1
12:12:32.213;7745.321;1
12:12:32.236;7745.321;1
12:12:32.259;7743.792;1
12:12:32.283;7742.456;1
12:12:32.305;7745.171;1
12:12:32.330;7745.171;1
12:12:32.353;7744.973;1
12:12:32.375;7745.987;1
12:12:32.397;7744.474;1
12:12:32.420;7741.151;1
12:12:32.443;7747.127;1
12:12:32.466;7746.777;1
12:12:32.489;7746.777;1
12:12:32.512;7745.566;1
12:12:32.535;7745.566;1
12:12:32.558;7743.829;1
12:12:32.581;7743.829;1
12:12:32.604;7737.795;1
12:12:32.627;7741.359;1
12:12:32.651;7741.359;1
12:12:32.673;7744.655;1
12:12:32.696;7744.655;1
12:12:32.721;7739.571;1
12:12:32.742;7745.3;1
12:12:32.766;7743.122;1
12:12:32.788;7740.683;1
12:12:32.812;7742.138;1
12:12:32.837;7740.481;1
12:12:32.860;7740.481;1
12:12:32.886;7741.847;1
12:12:32.904;7741.833;1
12:12:32.927;7741.25;1
12:12:32.951;7741.192;1
12:12:32.974;7741.313;1
12:12:32.996;7741.234;1
12:12:33.021;7741.234;1
12:12:33.042;7739.811;1
12:12:33.064;7742.118;1
12:12:33.088;7742.118;1
12:12:33.110;7739.795;1
12:12:33.134;7741.192;1
12:12:33.156;7741.192;1
12:12:33.181;7741.178;1
12:12:33.202;7741.619;1
12:12:33.226;7741.733;1
12:12:33.250;7743.604;1
12:12:33.272;7743.309;1
12:12:33.296;7744.27;1
12:12:33.317;7744.27;1
12:12:33.341;7736.809;1
12:12:33.364;7737.064;1
12:12:33.387;7742.966;1
12:12:33.412;7738.792;1
12:12:33.435;7743.095;1
12:12:33.457;7739.654;1
12:12:33.484;7739.654;1
12:12:33.502;7742.211;1
12:12:33.525;7739.177;1
12:12:33.549;7741.764;1
12:12:33.572;7742.346;1
12:12:33.593;7745.654;1
12:12:33.617;7744.796;1
12:12:33.640;7744.796;1
12:12:33.662;7738.819;1
12:12:33.687;7742.394;1
12:12:33.708;7741.826;1
12:12:33.732;7739.328;1
12:12:33.756;7736.415;1
12:12:33.778;7740.336;1
12:12:33.800;7740.336;1
12:12:33.825;7741.951;1
12:12:33.847;7741.895;1
12:12:33.870;7737.878;1
12:12:33.892;7741.656;1
12:12:33.917;7740.46;1
12:12:33.938;7740.974;1
12:12:33.962;7740.974;1
12:12:33.986;7739.723;1
12:12:34.010;7741.088;1
12:12:34.034;7740.876;1
12:12:34.056;7743.875;1
12:12:34.077;7744.775;1
12:12:34.102;7744.775;1
12:12:34.125;7738.366;1
12:12:34.147;7743.61;1
12:12:34.170;7737.936;1
12:12:34.192;7739.162;1
12:12:34.215;7742.045;1
12:12:34.240;7742.045;1
12:12:34.264;7741.25;1
12:12:34.287;7741.951;1
12:12:34.308;7738.418;1
12:12:34.330;7741.192;1
12:12:34.354;7740.953;1
12:12:34.376;7745.789;1
12:12:34.402;7745.789;1
12:12:34.423;7744.468;1
12:12:34.447;7735.04;1
12:12:34.468;7739.1;1
12:12:34.491;7739.395;1
12:12:34.515;7739.006;1
12:12:34.538;7739.79;1
12:12:34.560;7739.79;1
12:12:34.584;7740.933;1
12:12:34.608;7740.372;1
12:12:34.630;7739.447;1
12:12:34.652;7739.208;1
12:12:34.678;7742.893;1
12:12:34.699;7743.163;1
12:12:34.721;7743.163;1
12:12:34.744;7743.937;1
12:12:34.768;7741.053;1
12:12:34.791;7736.41;1
12:12:34.815;7738.05;1
12:12:34.837;7740.991;1
12:12:34.859;7738.528;1
12:12:34.885;7740.938;1
12:12:34.906;7740.938;1
12:12:34.930;7739.925;1
12:12:34.953;7739.027;1
12:12:34.975;7737.77;1
12:12:34.997;7739.037;1
12:12:35.019;7739.38;1
12:12:35.042;7740.409;1
12:12:35.065;7737.75;1
12:12:35.089;7737.75;1
12:12:35.111;7734.93;1
12:12:35.135;7734.93;1
12:12:35.157;7740.59;1
12:12:35.180;7741.432;1
12:12:35.203;7736.352;1
12:12:35.226;7736.352;1
12:12:35.252;7739.063;1
12:12:35.274;7737.573;1
12:12:35.295;7738.373;1
12:12:35.318;7739.353;1
12:12:35.341;7737.729;1
12:12:35.364;7740.268;1
12:12:35.387;7740.268;1
12:12:35.411;7740.268;1
12:12:35.434;7739.11;1
12:12:35.456;7742.248;1
12:12:35.481;7744.426;1
12:12:35.502;7738.84;1
12:12:35.526;7739.92;1
12:12:35.548;7733.836;1
12:12:35.572;7736.768;1
12:12:35.597;7736.768;1
12:12:35.618;7738.813;1
12:12:35.640;7740.055;1
12:12:35.663;7738.657;1
12:12:35.688;7740.263;1
12:12:35.709;7741.016;1
12:12:35.733;7742.716;1
12:12:35.757;7743.215;1
12:12:35.783;7743.215;1
12:12:35.802;7737.816;1
12:12:35.825;7732.959;1
12:12:35.849;7736.352;1
12:12:35.871;7738.601;1
12:12:35.893;7738.096;1
12:12:35.918;7739.151;1
12:12:35.939;7739.151;1
12:12:35.964;7740.6;1
12:12:35.986;7741.791;1
12:12:36.009;7738.231;1
12:12:36.031;7740.481;1
12:12:36.054;7740.481;1
12:12:36.080;7742.352;1
12:12:36.101;7739.203;1
12:12:36.124;7735.688;1
12:12:36.146;7739.333;1
12:12:36.169;7739.338;1
12:12:36.193;7739.338;1
12:12:36.216;7742.311;1
12:12:36.238;7742.311;1
12:12:36.262;7734.235;1
12:12:36.285;7740.693;1
12:12:36.310;7739.047;1
12:12:36.330;7739.042;1
12:12:36.356;7739.214;1
12:12:36.379;7737.847;1
12:12:36.400;7739.972;1
12:12:36.422;7739.972;1
12:12:36.445;7741.369;1
12:12:36.471;7744.894;1
12:12:36.492;7736.669;1
12:12:36.515;7738.834;1
12:12:36.537;7737.573;1
12:12:36.561;7739.166;1
12:12:36.586;7739.166;1
12:12:36.608;7738.57;1
12:12:36.632;7740.205;1
12:12:36.654;7739.474;1
12:12:36.676;7740.652;1
12:12:36.700;7737.874;1
12:12:36.721;7742.222;1
12:12:36.746;7742.222;1
12:12:36.769;7744.453;1
12:12:36.790;7740.101;1
12:12:36.813;7740.382;1
12:12:36.836;7740.866;1
12:12:36.859;7742.342;1
12:12:36.882;7741.91;1
12:12:36.907;7741.91;1
12:12:36.930;7741.489;1
12:12:36.952;7736.327;1
12:12:36.974;7743.885;1
12:12:36.998;7741.385;1
12:12:37.021;7736.711;1
12:12:37.044;7736.711;1
12:12:37.067;7739.727;1
12:12:37.089;7740.351;1
12:12:37.112;7739.883;1
12:12:37.135;7740.756;1
12:12:37.158;7739.54;1
12:12:37.182;7738.237;1
12:12:37.206;7738.237;1
12:12:37.229;7738.034;1
12:12:37.251;7743.267;1
12:12:37.273;7740.527;1
12:12:37.299;7744.925;1
12:12:37.319;7737.354;1
12:12:37.343;7745.664;1
12:12:37.366;7745.664;1
12:12:37.388;7737.905;1
12:12:37.411;7736.487;1
12:12:37.434;7739.613;1
12:12:37.457;7740.793;1
12:12:37.481;7740.897;1
12:12:37.504;7741.188;1
12:12:37.527;7741.188;1
12:12:37.549;7739.654;1
12:12:37.575;7739.702;1
12:12:37.597;7740.434;1
12:12:37.621;7740.579;1
12:12:37.642;7740.579;1
12:12:37.664;7740.024;1
12:12:37.687;7740.024;1
12:12:37.710;7742.654;1
12:12:37.733;7739.54;1
12:12:37.756;7741.864;1
12:12:37.784;7740.081;1
12:12:37.803;7739.463;1
12:12:37.825;7740.548;1
12:12:37.848;7740.548;1
12:12:37.874;7741.469;1
12:12:37.895;7741.905;1
12:12:37.918;7741.136;1
12:12:37.940;7743.147;1
12:12:37.965;7743.147;1
12:12:37.988;7745.483;1
12:12:38.009;7739.405;1
12:12:38.035;7743.538;1
12:12:38.057;7744.047;1
12:12:38.080;7740.112;1
12:12:38.102;7740.845;1
12:12:38.124;7740.845;1
12:12:38.150;7739.214;1
12:12:38.172;7737.816;1
12:12:38.193;7739.598;1
12:12:38.216;7738.788;1
12:12:38.239;7740.662;1
12:12:38.262;7740.693;1
12:12:38.286;7742.991;1
12:12:38.308;7742.991;1
12:12:38.331;7742.991;1
12:12:38.355;7743.101;1
12:12:38.377;7746.835;1
12:12:38.400;7738.377;1
12:12:38.423;7740.112;1
12:12:38.449;7740.112;1
12:12:38.471;7739.619;1
12:12:38.492;7739.8;1
12:12:38.515;7738.528;1
12:12:38.538;7740.554;1
12:12:38.563;7740.725;1
12:12:38.584;7742.679;1
12:12:38.607;7742.679;1
12:12:38.630;7739.432;1
12:12:38.653;7736.529;1
12:12:38.678;7740.61;1
12:12:38.699;7743.76;1
12:12:38.722;7743.787;1
12:12:38.745;7736.705;1
12:12:38.768;7736.705;1
12:12:38.791;7736.705;1
12:12:38.815;7740.959;1
12:12:38.838;7740.538;1
12:12:38.860;7742.997;1
12:12:38.884;7741.021;1
12:12:38.906;7738.476;1
12:12:38.931;7737.563;1
12:12:38.954;7742.46;1
12:12:38.976;7742.46;1
12:12:38.999;7740.517;1
12:12:39.021;7742.57;1
12:12:39.044;7737.157;1
12:12:39.067;7737.157;1
12:12:39.090;7737.157;1
12:12:39.113;7743.271;1
12:12:39.136;7743.392;1
12:12:39.159;7740.575;1
12:12:39.182;7740.575;1
12:12:39.206;7743.147;1
12:12:39.230;7743.147;1
12:12:39.252;7742.519;1
12:12:39.274;7742.882;1
12:12:39.299;7742.887;1
12:12:39.320;7737.874;1
12:12:39.343;7742.679;1
12:12:39.366;7740.351;1
12:12:39.390;7740.351;1
12:12:39.412;7740.351;1
12:12:39.435;7742.903;1
12:12:39.458;7739.478;1
12:12:39.484;7744.786;1
12:12:39.506;7741.697;1
12:12:39.528;7736.529;1
12:12:39.550;7740.834;1
12:12:39.576;7740.834;1
12:12:39.597;7736.026;1
12:12:39.621;7744.703;1
12:12:39.642;7739.619;1
12:12:39.666;7737.691;1
12:12:39.690;7737.303;1
12:12:39.713;7740.149;1
12:12:39.735;7740.149;1
12:12:39.758;7736.971;1
12:12:39.782;7739.935;1
12:12:39.804;7741.037;1
12:12:39.828;7741.864;1
12:12:39.850;7738.314;1
12:12:39.872;7741.681;1
12:12:39.897;7736.996;1
