TimeStamp;Положение КПВ (поз. A3);0 - Bad, 1 - Good
12:10:14.075;8.392;1
12:10:14.101;8.381;1
12:10:14.122;8.381;1
12:10:14.147;8.522;0
12:10:14.167;8.452;1
12:10:14.191;8.452;1
12:10:14.215;8.367;1
12:10:14.239;8.378;1
12:10:14.261;8.378;1
12:10:14.284;8.263;0
12:10:14.305;8.322;1
12:10:14.328;8.322;1
12:10:14.352;8.398;1
12:10:14.374;8.381;1
12:10:14.397;8.381;1
12:10:14.421;8.367;1
12:10:14.446;8.468;0
12:10:14.468;8.471;1
12:10:14.491;8.471;1
12:10:14.513;8.44;1
12:10:14.535;8.44;1
12:10:14.561;8.463;1
12:10:14.584;8.412;1
12:10:14.607;8.407;1
12:10:14.630;8.407;1
12:10:14.651;8.412;1
12:10:14.675;8.412;1
12:10:14.696;8.356;1
12:10:14.722;8.432;1
12:10:14.743;8.336;0
12:10:14.766;8.336;1
12:10:14.790;8.266;1
12:10:14.811;8.266;1
12:10:14.834;8.429;0
12:10:14.857;8.395;1
12:10:14.883;8.44;1
12:10:14.904;8.311;0
12:10:14.926;8.311;1
12:10:14.949;8.311;1
12:10:14.973;8.426;0
12:10:14.995;8.412;1
12:10:15.020;8.381;1
12:10:15.043;8.392;1
12:10:15.065;8.457;1
12:10:15.087;8.457;1
12:10:15.111;8.457;1
12:10:15.135;8.409;1
12:10:15.157;8.392;1
12:10:15.181;8.356;1
12:10:15.205;8.409;1
12:10:15.226;8.409;1
12:10:15.248;8.409;1
12:10:15.272;8.404;1
12:10:15.295;8.485;1
12:10:15.319;8.395;0
12:10:15.342;8.381;1
12:10:15.365;8.381;1
12:10:15.390;8.381;1
12:10:15.411;8.407;1
12:10:15.434;8.364;1
12:10:15.457;8.435;1
12:10:15.480;8.384;1
12:10:15.504;8.384;1
12:10:15.525;8.435;1
12:10:15.547;8.398;1
12:10:15.571;8.398;1
12:10:15.593;8.336;1
12:10:15.617;8.353;1
12:10:15.639;8.353;1
12:10:15.662;8.37;1
12:10:15.687;8.333;1
12:10:15.711;8.333;1
12:10:15.732;8.446;0
12:10:15.756;8.398;1
12:10:15.779;8.398;1
12:10:15.803;8.378;1
12:10:15.826;8.305;1
12:10:15.849;8.339;1
12:10:15.869;8.339;1
12:10:15.894;8.26;1
12:10:15.916;8.26;1
12:10:15.940;8.333;1
12:10:15.963;8.26;1
12:10:15.988;8.26;1
12:10:16.009;8.322;1
12:10:16.032;8.367;1
12:10:16.055;8.367;1
12:10:16.077;8.429;1
12:10:16.100;8.423;1
12:10:16.123;8.423;1
12:10:16.146;8.339;1
12:10:16.169;8.426;1
12:10:16.192;8.426;1
12:10:16.215;8.353;1
12:10:16.238;8.423;1
12:10:16.261;8.423;1
12:10:16.285;8.423;1
12:10:16.308;8.392;1
12:10:16.331;8.435;1
12:10:16.353;8.435;1
12:10:16.376;8.432;1
12:10:16.401;8.353;1
12:10:16.425;8.37;1
12:10:16.446;8.274;0
12:10:16.470;8.274;1
12:10:16.492;8.274;1
12:10:16.514;8.333;1
12:10:16.539;8.367;1
12:10:16.561;8.339;1
12:10:16.587;8.339;1
12:10:16.607;8.409;1
12:10:16.630;8.409;1
12:10:16.653;8.392;1
12:10:16.677;8.376;1
12:10:16.699;8.331;1
12:10:16.722;8.331;1
12:10:16.744;8.401;1
12:10:16.767;8.395;1
12:10:16.790;8.395;1
12:10:16.813;8.429;1
12:10:16.836;8.426;1
12:10:16.859;8.46;1
12:10:16.883;8.46;1
12:10:16.904;8.471;1
12:10:16.927;8.44;1
12:10:16.950;8.381;1
12:10:16.973;8.457;1
12:10:16.996;8.457;1
12:10:17.019;8.367;0
12:10:17.042;8.367;1
12:10:17.065;8.322;1
12:10:17.089;8.322;1
12:10:17.111;8.449;0
12:10:17.134;8.449;1
12:10:17.157;8.457;1
12:10:17.182;8.457;1
12:10:17.205;8.457;1
12:10:17.228;8.438;1
12:10:17.249;8.333;0
12:10:17.273;8.353;1
12:10:17.296;8.392;1
12:10:17.318;8.392;1
12:10:17.342;8.392;1
12:10:17.364;8.367;1
12:10:17.387;8.432;1
12:10:17.413;8.443;1
12:10:17.435;8.381;1
12:10:17.456;8.381;1
12:10:17.481;8.367;1
12:10:17.503;8.367;1
